game_id,game_name,game_category_code,game_type_code
358,Cosmic Expander,C,WildTime
359,Aqua Cash,C,VideoSlotMath_B
360,Wings of Cash,C,WildTime
361,Fruity Friends,C,VideoSlotMath_A
362,Spiñata Grande,S,Non Branded
364,Money in the Mitten,C,WildTime
365,Mayan Treasures,S,
366,Havana Cubana,S,
367,Cash Wizard,S,
368,Chimney Stacks,S,
369,Hot Shot Blazing 7s,S,
370,Vegas Hits,S,
371,Graveyard Party,C,VideoSlotMath_A
372,Trevo da Sorte,C,WildTime
373,Double the Devil,S,
374,Geckos Gone Wild,S,
375,Monkey in the Bank,S,
376,White Buffalo,S,
377,Bingo Bonanza,C,BingoBonanza
378,Jungle Hop!,C,WildTime
379,Dracula ,S,
380,Pe De Meia,C,PeDeMeia
381,Mini Pe De Meia,C,PeDeMeia
382,Recompensa,C,WildTime
383,Stickers,S,Non Branded
384,Instant Football Payout,C,SuperMoneyMatch
385,Lucky Kitten,C,SuperMoneyMatch
386,Amazon Adventures,C,WildTime
387,Merlin's Millions,S,
388,Rainbow Charms,C,VideoSlotMath_A
389,Cosmic Expander,C,WildTime
391,Cerne Perly,C,WildTime
392,eCash,C,WildTime
393,eRentier,C,WildTime
394,Diamanty,C,WildTime
395,Stistko,C,SuperMoneyMatch
396,Neon Staxx,S,Non Branded
397,Foxin wins,S,
398,Sparks,S,
399,Medusa 2,S,
401,Pre Live,S,Sport
402,Live Betting,S,Sport
403,Combo,S,Sport
404,Virtual Sports,S,
406,Keno VIP,S,Keno
407,Black Jack Solo (CZ),C,Blackjack
408,Blackjack - Classic (CZ),C,Blackjack
409,Sportsbook,S,
410,Fuzzball Keno,C,Keno
411,Dazzle me,S,Non Branded
412,Fruity Cashword,C,Cashword
413,Tax Free,C,WildTime
414,King Kong,S,
415,Hook's Heroes,S,Non Branded
417,Foxin wins again,S,
418,Pyramid: Quest for Immortality,S,
419,Pinata!,C,QueenOfDiamonds
421,Mega Moolah,S,Non Branded
422,immortal Romance,S,Branded
423,Avalon,S,Non Branded
424,Thunderstruck II,S,Branded
425,Reel Gems,S,
426,3 Eggs,C,Match3Eggs
427,Foxin wins,S,
428,Foxin Wins Again,S,
429,Gorilla go wild ,S,
430,Koi Princess,S,Non Branded
431,Queen of Diamonds,C,QueenOfDiamonds
432,VIP Black,C,VIPBlack
433,VIP Black,C,VIPBlack
434,Multiplier Max Out,C,QueenOfDiamonds
436,Jackpot Jester,S,
438,Merlin's Millions,S,
439,Mega Pe De Meia,C,PeDeMeia
440,Aranha da Sorte,C,AranhaDaSorte
442,Rainbow Riches ,S,
443,Hit Series,C,QueenOfDiamonds
444,Mermaids Millions,S,Non Branded
445,Break Away,S,
446,Alaskan Fishing,S,
447,Ariana,S,Non Branded
448,Football Star,S,
449,What A Hoot,S,
450,Spartacus,S,
451,Raging Rhino,S,
452,DoublePlay SuperBet,S,
453,Medusa,S,
454,Medusa 2 ,S,
455,Cash Spin ,S,
456,Guns N' Roses,S,Branded
457,Sweet Winnings,C,7Heaven
458,Drive,S,Non Branded
459,Bikini Party,S,
460,Classic Blackjack Gold,S,Table games
462,Aloha! Cluster Pays,S,Non Branded
463,Golden Island,C,GoldenIslandTreasure
464,Rainbow Riches,S,
465,Rainbow Riches Pick n' Mix,S,
466,OMG! Kittens,S,
467,Wild West,C,QueenOfDiamonds
468,Big League Raffle Online,C,RoyalSlot
469,Redeem The Dream,C,RedeemTheDream
470,Quick 6,C,MultiTicketKeno
471,Pentagram,S,
472,Jimi Hendrix,S,Branded
473,Bar Bar Black Sheep,S,Non Branded
474,Stars and Stripes,C,SuperMoneyMatch
475,Hit The Bank,C,QueenOfDiamonds
476,Burning Desire,S,
477,Break Da Bank Again,S,Non Branded
478,Football: Champions Cup,S,
479,Jackpot Jester Wild Nudge,S,
480,Miss Midas,S,
481,Spin Sorceress,S,
482,Witch Pickings,S,
483,Jack's Beanstalk,S,
484,Zeus III,S,
485,Mega Bucks,C,RoyalSlot
486,Cats vs Dogs,C,XOX
487,Diamond Payout,S,WildTime
488,Triple 7's,C,7Heaven
490,Roaring 20s,C,PeDeMeia
491,Gioca Alla Sisal,C,Keno
492,DJ Wild,S,
493,E-Cash,C,WildTime
494,Instant Riches,C,WildTime
495,Blazing Red 7's,C,WildTime
496,Lucky Moments,C,XOX
497,Pure Gold,C,GoldenFortune
499,20X,C,WildTime
500,Powerball,S,
502,Mega Million,S,
503,Fantasy 5,S,
504,Raffle,S,
505,Lotto 47,S,
506,Cash4Life,S,
507,Lucky for Life,S,
508,Theme Park,S,Non Branded
509,Esqueleto Explosivo,S,3rd Party
510,Chilli Gold II,S,
511,Game of Thrones,S,Branded
512,Taco Brothers,S,
513,Electric Sam,S,
514,Dolphin Gold,S,
515,Mad Mad Monkey,S,
516,A Dragon Story,S,
517,When Pigs Fly,S,
518,Pretty Kitty,S,
519,Cash5,S,
520,Secrets of Atlantis,S,Non Branded
521,Wish upon a Jackpot,S,
522,Super Graphics upside down,S,
523,Fireworks,S,
524,Red Riding Hood,S,Non Branded
525,Triple Gems,C,PullTabs
526,Golden Harvests,C,WildTime
527,VIP GOLD,C,QueenOfDiamonds
528,Secrets of Christmas,S,Non Branded
529,Warlords ,S,Non Branded
530,Poltava,S,
531,Bloopers,S,
532,Birds on a Wire,S,
533,Zoom ,S,
534,Hot Cross Bunnies,S,
535,Great Wild Elk,S,
536,Volcano Eruption,S,
539,Jungle Jim,S,Non Branded
540,Lost Vegas,S,Non Branded
541,Rabbit in the Hat,S,
543,The Twisted Circus,S,
544,Win sum Dim sum,S,Non Branded
545,Dragonz,S,Non Branded
546,Montezuma,S,
547,Superwilds,S,
548,Home Run Riches,C,QueenOfDiamonds
549,8-Bit Bucks,C,WildTime
550,Sportka,S,
551,SportkaMH,S,
552,Eurojackpot,S,
553,Keno,S,
554,Euromilliony,S,
555,Stastnych10,S,
556,Sazkamobil,S,
557,Kostky,S,
558,Kasicka,S,
559,Sazka,S,
560,SazkaMH,S,
561,Road Trip,C,RoyalSlot
562,Divine Fortune,S,Non Branded
563,Blackjack Doubler,C,BlackjackMultiTicket
564,Joker Pro,S,Non Branded
565,Bullseye Keno,S,MultiTicketKeno
570,Cowboy Cash Roundup,S,QueenOfDiamonds
571,Multiplier Max Out,S,QueenOfDiamonds
572,Roll the Dice,S,RollTheDice
573,Sampo,S,Sampo
574,Alfredo,S,RoyalSlot
575,King of Clubs,C,QueenOfDiamonds
576,Jungle Spirit,S,Non Branded
577,The Invisible Man,S,Branded
579,Dead or Alive,S,Non Branded
580,Glow,S,
582,Motorhead,S,Branded
583,Hall of Gods,S,
584,Wild Turkey,S,
585,Hansel and Gretel,S,Non Branded
586,Scruffy Duck,S,Non Branded
587,Copy Cats,S,Non Branded
588,Wild Wild West,S,Non Branded
589,Excalibur,S,
590,Butterfly Staxx,S,Non Branded
591,Slapshot!,C,QueenOfDiamonds
597,VIP Gold,C,QueenOfDiamonds
598,Egyptian Deluxe,C,VIPBlack
599,10X,C,WildTime
600,Live Baccarat,C,Non Branded
601,Live Roulette,C,Non Branded
602,Live Blackjack,C,Non Branded
606,Live Blackjack VIP,S,
607,Live Roulette VIP,S,
608,Live Baccarat Squeeze,S,
609,Live Auto Roulette,S,
610,Live French Roulette,S,
611,Live Blackjack Party,S,
612,Live Immersive Roulette,S,
613,Dream Catcher,S,Branded
614,Treasure Bay,S,WildTime
615,Cosmic Expander,C,WildTime
616,Pot O Gold,S,LuckyCharms
617,Starlight Dazzle,S,StarlightDazzle
618,Golden Island XXL,C,GoldenIslandTreasure
619,Roaring 20s,C,PeDeMeia
621,Munchkins,S,Non Branded
622,Life of Riches,S,Non Branded
623,Cool Buck ,S,
624,Reel Strike,S,Non Branded
625,Forbidden Throne,S,Non Branded
626,Jewel Quest Riches,S,3rd Party
627,Cashapillar,S,Non Branded
629,Fortune Girl,S,
630,Golden Princess ,S,
631,Secret Romance,S,
632,Emojiplanet,S,Branded
633,Legend Of Shangri La,S,Non Branded
634,Wolf Cub,S,Non Branded
636,Blood Suckers II,S,Non Branded
637,Druids dream,S,Non Branded
638,Finn and the Swirly Spin,S,Non Branded
639,Spellcast,S,Non Branded
640,Twin Spin Deluxe,S,Non Branded
641,Reactoonz,S,Non Branded
642,Big Win Cat,S,Non Branded
643,FuErDai,S,Non Branded
644,Sea Hunters,S,
645,Mystery Joker 6000,S,Non Branded
646,Humpty Dumpty ,S,
647,Monster Wheels,S,Non Branded
649,Vampire The Masquerade Las Vegas,S,
659,Cash Busters,S,
664,Bier Fest,S,3rd Party
665,Mega Money Rush,S,
666,Jurassic World,S,Branded
667,Moby Dick,S,3rd Party
668,Fruit blast,S,3rd Party
669,Oink Country Love,S,Non Branded
670,Emoticoins,S,Non Branded
671,108 Heroes Multiplier Fortunes,S,Non Branded
672,Gnome Wood,S,3rd Party
675,Tasty Street,S,
677,Clash of Queens,S,3rd Party
678,Pick a Fortune,S,3rd Party
686,Lucky Links,S,3rd Party
687,Hansel & Gretel Treasure Trail,S,
688,Wu Xing ,S,3rd Party
689,Prosperity Palace,S,Non Branded
690,Mermaids Diamonds,S,Non Branded
691,Leprechaun goes to hell,S,Non Branded
692,Moon Princess,S,Non Branded
693,Sweet 27,S,Non Branded
694,Multifruit,S,Non Branded
695,Gemix,S,Non Branded
696,Cloud Quest,S,
697,Wizard of Gems,S,Non Branded
698,Energoonz,S,Non Branded
699,Fire Joker,S,Non Branded
700,Tower Quest,S,
701,Crazy Cows,S,Non Branded
702,Casino Holdem,C,
703,Jackpot Poker,C,
704,Bell of Fortune,S,
705,Instant Keno,C,Keno
706,Instant Keno Multiplier,C,Keno
707,Lady Keno,C,Keno
708,Multiplier Max Out,C,QueenOfDiamonds
709,Cowboy Cash roundup,C,QueenOfDiamonds
710,Egyptian Oasis,C,VIPBlack
711,50X,C,WildTime
712,eCash,C,WildTime
713,eCash,C,WildTime
714,Queen of Diamonds,C,QueenOfDiamonds
715,Mini eRentier,C,PeDeMeia
716,eRentier,C,PeDeMeia
717,Super eRentier,C,PeDeMeia
718,Book of Dead,S,Non Branded
719,7 Sins,S,Non Branded
720,Super Flip,S,Non Branded
721,Merry Xmas,S,Non Branded
722,Lady of Fortune,S,Non Branded
723,Grim Muerto,S,Non Branded
724,Mystery Joker,S,Non Branded
725,Wild North,S,Non Branded
726,Xmas Joker,S,Non Branded
727,Pearls of India,S,
728,Pimped,S,
729,Sails of Gold,S,Non Branded
730,Golden Legend,S,
731,Enchanted Meadow ,S,Non Branded
732,Royal Masquerade,S,
733,Fruit vs Candy,S,
734,Cash Crazy,S,
739,Huangdi - The Yellow Emperor,S,
743,Troll Hunters,S,Non Branded
744,Golden Ticket,S,Non Branded
745,Jade Magician,S,Non Branded
746,Prissy Princess,S,
748,Jurassic Park,S,
749,Terminator 2,S,Branded
750,Playboy,S,Branded
751,Thunderstruck I,S,
752,Goldwyns Fairies,S,3rd Party
753,Girls with Guns I,S,Non Branded
754,The Finer Reels of Life ,S,
755,Avalon II,S,Branded
756,Gold Factory,S,Non Branded
757,Leagues of Fortune,S,Non Branded
758,Tarzan,S,
759,Titans of the Sun - Hyperion,S,Non Branded
760,Bridesmaids,S,
761,Myth,S,Non Branded
762,Wild Blood,S,Non Branded
763,Hugo,S,Branded
773,Viking Runecraft,S,Non Branded
774,Super Sumo,S,3rd Party
775,Enchanting Spells,S,3rd Party
776,Zlata Muska,C,SuperMoneyMatch
777,Shocking 7,C,QueenOfDiamonds
800,1Can 2Can,S,Non Branded
801,Zoom,S,3rd Party
802,Poltava,S,3rd Party
803,Red Queen Blackjack,C,
804,Double Play Superbet,S,Non Branded
805,Starmania,S,Non Branded
806,Spin Sorceress,S,Non Branded
807,Cash Stampede,S,Non Branded
808,Batman 2016,S,
809,Volcano Eruption,S,Non Branded
810,Psycho,S,
811,Dragon Drop,S,Non Branded
812,Witch Pickings,S,Non Branded
813,The Spin Lab,S,
814,Pentagram,S,3rd Party
815,Wish Upon a Jackpot,S,3rd Party
816,Zeus III,S,3rd Party
817,Jungle Jackpot,S,3rd Party
818,King Kong,S,Branded
819,Wild Antics,S,3rd Party
821,Casper,S,
822,Super Graphics Upside Down,S,
823,Fireworks,S,3rd Party
824,Hot Cross Bunnies,S,3rd Party
825,DJ Wild,S,3rd Party
